date,groupe_age,campagne,DOSES(J07E1),ACTE(VGP),annee,mois,jour_semaine,semaine_annee,DOSES(J07E1)_campagne,ACTE(VGP)_campagne,UNIVERS,PHARMACIES,POURCENTAGE
2022-10-28,moins de 65 ans,2022-2023,45227,17827,2022,10,4,43,,,,,
2022-10-29,65 ans et plus,2022-2023,77062,21996,2022,10,5,43,,,,,
2022-10-29,moins de 65 ans,2022-2023,25269,9348,2022,10,5,43,,,,,
2022-10-30,65 ans et plus,2022-2023,748,328,2022,10,6,43,,,,,
2022-10-30,moins de 65 ans,2022-2023,327,150,2022,10,6,43,,,,,
2022-10-31,65 ans et plus,2022-2023,146846,54934,2022,10,0,44,,,,,
2022-10-31,moins de 65 ans,2022-2023,41258,16339,2022,10,0,44,,,,,
2022-11-01,65 ans et plus,2022-2023,1399,590,2022,11,1,44,,,,,
2022-11-01,moins de 65 ans,2022-2023,642,256,2022,11,1,44,,,,,
2022-11-02,65 ans et plus,2022-2023,234277,96597,2022,11,2,44,,,,,
2022-11-02,moins de 65 ans,2022-2023,52257,20145,2022,11,2,44,,,,,
2022-11-03,65 ans et plus,2022-2023,217316,93660,2022,11,3,44,,,,,
2022-11-03,moins de 65 ans,2022-2023,49363,19878,2022,11,3,44,,,,,
2022-11-04,65 ans et plus,2022-2023,219154,97058,2022,11,4,44,,,,,
2022-11-04,moins de 65 ans,2022-2023,54327,23150,2022,11,4,44,,,,,
2022-11-05,65 ans et plus,2022-2023,101129,31409,2022,11,5,44,,,,,
2022-11-05,moins de 65 ans,2022-2023,33848,13019,2022,11,5,44,,,,,
2022-11-06,65 ans et plus,2022-2023,1210,565,2022,11,6,44,,,,,
2022-11-06,moins de 65 ans,2022-2023,542,195,2022,11,6,44,,,,,
2022-11-07,65 ans et plus,2022-2023,237488,112702,2022,11,0,45,,,,,
2022-11-07,moins de 65 ans,2022-2023,54239,22884,2022,11,0,45,,,,,
2022-11-08,65 ans et plus,2022-2023,266081,133561,2022,11,1,45,,,,,
2022-11-08,moins de 65 ans,2022-2023,58301,24760,2022,11,1,45,,,,,
2022-11-09,65 ans et plus,2022-2023,208901,102250,2022,11,2,45,,,,,
2022-11-09,moins de 65 ans,2022-2023,52651,21294,2022,11,2,45,,,,,
2022-11-10,65 ans et plus,2022-2023,230745,116775,2022,11,3,45,,,,,
2022-11-10,moins de 65 ans,2022-2023,58258,26072,2022,11,3,45,,,,,
2022-11-11,65 ans et plus,2022-2023,2327,697,2022,11,4,45,,,,,
2022-11-11,moins de 65 ans,2022-2023,1123,337,2022,11,4,45,,,,,
2022-11-12,65 ans et plus,2022-2023,100344,36594,2022,11,5,45,,,,,
2022-11-12,moins de 65 ans,2022-2023,34557,13823,2022,11,5,45,,,,,
2022-11-13,65 ans et plus,2022-2023,1206,485,2022,11,6,45,,,,,
2022-11-13,moins de 65 ans,2022-2023,508,184,2022,11,6,45,,,,,
2022-11-14,65 ans et plus,2022-2023,213682,113832,2022,11,0,46,,,,,
2022-11-14,moins de 65 ans,2022-2023,53117,22796,2022,11,0,46,,,,,
2022-11-15,65 ans et plus,2022-2023,239387,136849,2022,11,1,46,,,,,
2022-11-15,moins de 65 ans,2022-2023,63544,27923,2022,11,1,46,,,,,
2022-11-16,65 ans et plus,2022-2023,188634,104578,2022,11,2,46,,,,,
2022-11-16,moins de 65 ans,2022-2023,56587,23733,2022,11,2,46,,,,,
2022-11-17,65 ans et plus,2022-2023,178457,102056,2022,11,3,46,,,,,
2022-11-17,moins de 65 ans,2022-2023,52559,23585,2022,11,3,46,,,,,
2022-11-18,65 ans et plus,2022-2023,168857,97862,2022,11,4,46,,,,,
2022-11-18,moins de 65 ans,2022-2023,58462,27578,2022,11,4,46,,,,,
